Date,equity
2017-09-01,10680.779487480893
2017-09-05,10784.13171148494
2017-09-06,10761.18501862181
2017-09-07,10956.794814383138
2017-09-08,10981.37290174693
2017-09-11,10919.098135659637
2017-09-12,10919.443024321134
2017-09-13,10840.766080814663
2017-09-14,10915.464688887141
2017-09-15,10887.896856584857
2017-09-18,10780.931031348837
2017-09-19,10719.384835874142
2017-09-20,10683.106134405562
2017-09-21,10585.428605748637
2017-09-22,10592.926623500543
2017-09-25,10740.258959867164
2017-09-26,10618.580033545375
2017-09-27,10488.70382670242
2017-09-28,10520.587138981233
2017-09-29,10508.61523010825
2017-10-02,10514.99975602234
2017-10-03,10506.912087344035
2017-10-04,10604.4728202223
2017-10-05,10620.213414207872
2017-10-06,10571.30283258689
2017-10-09,10537.97330032721
2017-10-10,10569.274418657484
2017-10-11,10600.330755990894
2017-10-12,10594.951453424339
2017-10-13,10629.47569154989
2017-10-16,10672.05417513993
2017-10-17,10652.60108337348
2017-10-18,10687.67827757578
2017-10-19,10653.73384211966
2017-10-20,10783.95583282998
2017-10-23,10651.235486986323
2017-10-24,10714.398405739072
2017-10-25,10589.633111234016
2017-10-26,10615.887106730395
2017-10-27,10980.638829935406
2017-10-30,10921.849234514828
2017-10-31,11032.58442229719
2017-11-01,11014.384115522644
2017-11-02,11061.680358945732
2017-11-03,11168.535160951056
2017-11-06,11335.367755903972
2017-11-07,11345.623166413823
2017-11-08,11352.058767685805
2017-11-09,11387.593988560502
2017-11-10,11291.17650650545
2017-11-13,11336.796020166046
2017-11-14,11316.137524569842
2017-11-15,11183.262802821688
2017-11-16,11475.597269270009
2017-11-17,11437.380642073238
2017-11-20,11522.562927547853
2017-11-21,11759.062057691139
2017-11-22,11779.536411609579
2017-11-24,11861.099514535113
2017-11-27,11761.846133405095
2017-11-28,11893.428875091398
2017-11-29,11873.999024050323
2017-11-30,12016.211825309496
2017-12-01,12054.272923269622
2017-12-04,12036.076521758161
2017-12-05,11958.406603874579
2017-12-06,11741.899798447977
2017-12-07,11837.722529024377
2017-12-08,11950.743205256105
2017-12-11,12033.284406557474
2017-12-12,11973.576158129792
2017-12-13,11954.690301032837
2017-12-14,11859.513544597858
2017-12-15,11937.208091112228
2017-12-18,12138.954291791797
2017-12-19,12166.037616799744
2017-12-20,12284.382753964646
2017-12-21,12449.832718955318
2017-12-22,12514.801287937184
2017-12-26,12651.657225751578
2017-12-27,12659.120029414387
2017-12-28,12742.796028801697
2017-12-29,12710.40768746163
2018-01-02,12983.14505269197
2018-01-03,13204.598482808065
2018-01-04,13323.03430997837
2018-01-05,13393.958013182419
2018-01-08,13450.45385394283
2018-01-09,13482.031096302027
2018-01-10,13445.53561723226
2018-01-11,13715.728558747058
2018-01-12,13878.773464571901
2018-01-16,13650.046029851794
2018-01-17,13809.920136685032
2018-01-18,13739.712679651017
2018-01-19,13791.710054396988
2018-01-22,13986.79015792264
2018-01-23,14039.918922775749
2018-01-24,14128.327298308026
2018-01-25,14085.346775492204
2018-01-26,14285.53085304651
2018-01-29,14027.962450259047
2018-01-30,13719.085731788595
2018-01-31,13638.647547600833
2018-02-01,13649.604426648959
2018-02-02,12848.997915853393
2018-02-05,12255.718597199006
2018-02-06,12598.499551935161
2018-02-07,12394.249173483027
2018-02-08,11918.648978942723
2018-02-09,12054.604716299173
2018-02-12,12353.907757061545
2018-02-13,12405.547264616624
2018-02-14,12708.02409789985
2018-02-15,12760.489889795574
2018-02-16,12856.439906024623
2018-02-20,12710.972022970393
2018-02-21,12600.903101514257
2018-02-22,12654.399488210722
2018-02-23,12844.633425280963
2018-02-26,12959.781850215248
2018-02-27,12764.01892613484
2018-02-28,12509.906454600045
2018-03-01,12569.78958744847
2018-03-02,12609.320115004068
2018-03-05,12662.519418917052
2018-03-06,12800.048405061072
2018-03-07,12772.401282138455
2018-03-08,12670.078381771002
2018-03-09,12770.97558370701
2018-03-12,12811.688278456393
2018-03-13,12760.778855023598
2018-03-14,12620.472534829778
2018-03-15,12563.13130049134
2018-03-16,12642.599679341412
2018-03-19,12407.156478079176
2018-03-20,12387.22663007922
2018-03-21,12570.148773274528
2018-03-22,12255.759748116956
2018-03-23,11994.393239534298
2018-03-26,12300.715130646953
2018-03-27,12355.439015234222
2018-03-28,12387.518468142067
2018-03-29,12405.399314282455
2018-04-02,12413.37416950428
2018-04-03,12386.280380639031
2018-04-04,12375.974639576696
2018-04-05,12359.255695793703
2018-04-06,12394.059785459673
2018-04-09,12391.765181083334
2018-04-10,12373.170016243666
2018-04-11,12383.527587685452
